nm,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
377.0,-0.9652715,-0.9875455,-0.9786954999999999,-0.9896855,-1.0287454999999999,-1.0821555,-1.1352555,-1.1361655,-1.2347455,-1.2686155,-1.6256755,-1.7440755,-1.8591355,-1.9982954999999998,-2.0013454999999998,-2.0385755,0.0,-1.9738755000000001,-0.0524902
378.0,-0.9579472,-0.9640502000000001,-0.9582522,-0.9735062,-1.0113562,-1.0360762,-1.1276262,-1.1016861999999998,-1.1950661999999999,-1.2527462,-1.5573162,-1.7349261999999999,-1.8295261999999999,-1.9656361999999998,-1.9680761999999998,-2.0089762,0.0,-1.9931062,-0.0543213
379.0,-0.910645,-0.935364,-0.930786,-0.949402,-0.9906,-1.0211199999999998,-1.07636,-1.08887,-1.1795,-1.22742,-1.54633,-1.6793799999999999,-1.7868,-1.93024,-1.94977,-1.97906,0.0,-1.94794,-0.049133300000000005
380.0,-0.913391,-0.903015,-0.9121699999999999,-0.943298,-0.9530639999999999,-0.986943,-1.0174530000000002,-1.0690330000000001,-1.1599730000000001,-1.205143,-1.535643,-1.688533,-1.817323,-1.892093,-1.905213,-1.966243,0.0,-1.932063,-0.0488281
381.0,-0.8825688,-0.8898928,-0.8883668,-0.9100338,-0.9036258,-0.9948758000000001,-1.0266157999999999,-1.0775758,-1.1135857999999998,-1.1813357999999998,-1.4956657999999998,-1.6473358,-1.7749058,-1.8728658,-1.8890357999999998,-1.9323758,0.0,-1.9076558,-0.054016100000000004
382.0,-0.8615117,-0.8673097000000001,-0.8807377000000001,-0.8935547,-0.9274287,-0.9631337,-1.0061637,-1.0165437,-1.0855137000000001,-1.1718737000000001,-1.4596537,-1.6165137,-1.7385837,-1.8679837000000001,-1.8774437,-1.9042937,0.0,-1.8792737,-0.0509643
383.0,-0.8377072999999999,-0.8584592999999999,-0.8587642999999999,-0.8480833,-0.8911133,-0.9469603,-0.9609983,-0.9921303,-1.0748303000000001,-1.1303703,-1.4379903,-1.5939303,-1.7028803000000001,-1.7953503000000002,-1.8484503,-1.8804903000000002,0.0,-1.8643203000000002,-0.0439453
384.0,-0.8239745,-0.8312985,-0.8316045,-0.8413695,-0.8663945,-0.8996585,-0.9179685,-0.9808375,-1.0790975,-1.1187775,-1.4233375,-1.5554775,-1.6918975,-1.7871075,-1.7883275,-1.8246475,0.0,-1.8392975,-0.0543213
385.0,-0.7958987,-0.8309937,-0.8020016999999999,-0.7989507,-0.8233647,-0.8682247,-0.9262087,-0.9478757,-1.0357707,-1.0836807000000002,-1.3708507,-1.5429707000000001,-1.6500807000000002,-1.7694107000000001,-1.7810107000000002,-1.7968707000000002,0.0,-1.7895507000000002,-0.0573731
386.0,-0.7754519,-0.7952879,-0.7965089,-0.7913209,-0.8416749,-0.8590699,-0.9158329000000001,-0.9231569000000001,-0.9973169000000001,-1.0766569,-1.3439968999999998,-1.4965868999999998,-1.5975968999999999,-1.7385868999999998,-1.7590369,-1.7584269,0.0,-1.7462168999999998,-0.055542
387.0,-0.753784,-0.744019,-0.752869,-0.768127,-0.787964,-0.853272,-0.854187,-0.905151,-0.9668,-1.0247799999999998,-1.3028,-1.46942,-1.55518,-1.6534399999999998,-1.67786,-1.7520099999999998,0.0,-1.68427,-0.052490300000000004
388.0,-0.7275389,-0.7308959,-0.7260129,-0.7482909,-0.7696529,-0.7891849,-0.8554079,-0.8718869,-0.9445189,-1.0214268999999998,-1.2774668999999998,-1.4437868999999999,-1.5414469,-1.6052269,-1.6592368999999998,-1.6680868999999998,0.0,-1.6717568999999999,-0.050354
389.0,-0.6958013000000001,-0.7055663000000001,-0.6866453,-0.7342533,-0.7241823000000001,-0.7644653,-0.8233643,-0.8447263,-0.8975223,-0.9616093,-1.2448093,-1.3714593,-1.4819293,-1.5826392999999999,-1.5881393,-1.6107193,0.0,-1.6363493,-0.06317139999999999
390.0,-0.6790165,-0.6854245,-0.6774905,-0.6857295,-0.7260135,-0.7717895,-0.7708735,-0.8251955,-0.8822635,-0.9518435,-1.2063565,-1.3442965,-1.4395164999999999,-1.5249665000000001,-1.5759265,-1.5902664999999998,0.0,-1.5850865,-0.060119599999999995
391.0,-0.6500248000000001,-0.6552128,-0.6613158,-0.6573488000000001,-0.6893918,-0.7168578,-0.7659908000000001,-0.7925418000000001,-0.8447268,-0.9173588,-1.1541758,-1.2963858,-1.3894658,-1.5069557999999998,-1.5368658,-1.5319858,0.0,-1.5588358,-0.0546264
392.0,-0.6329347,-0.6100466999999999,-0.6262207,-0.6436157,-0.6564327,-0.6842037,-0.7330327,-0.7504277,-0.8139037,-0.8856197,-1.1102307,-1.2558007,-1.3678007,-1.4657607000000001,-1.4825407000000002,-1.4886507,0.0,-1.5145907,-0.05401609999999999
393.0,-0.6082153,-0.5993653,-0.6039433,-0.6182863,-0.6417843,-0.6878662999999999,-0.7073973,-0.7293702999999999,-0.7882693,-0.8496093,-1.0849003000000002,-1.1993403,-1.3424703,-1.4175403,-1.4019803000000002,-1.4630103,0.0,-1.4740003000000002,-0.056762700000000006
394.0,-0.5780033,-0.5886842999999999,-0.5990603,-0.5950923,-0.6097412999999999,-0.6280513,-0.6842043,-0.7174683,-0.7577513,-0.8126833,-1.0745203,-1.2011703,-1.2866203,-1.3760403,-1.3781703,-1.4001503000000002,0.0,-1.4376803,-0.06500239999999999
395.0,-0.5581666,-0.5499265999999999,-0.5612186,-0.5627445999999999,-0.6036376,-0.6167606,-0.6518556,-0.6835936,-0.7427976,-0.7986445999999999,-1.0189776000000001,-1.1321976,-1.2087976,-1.3226276000000001,-1.3323976000000002,-1.3937376000000001,0.0,-1.3839676,-0.0558472
396.0,-0.5276493999999999,-0.5505374,-0.5343624,-0.5563353999999999,-0.5694583999999999,-0.6234744,-0.6179814,-0.6536864,-0.6976314,-0.7800294,-0.9906024,-1.1172524,-1.2133824,-1.2545823999999999,-1.2951624,-1.3729824,0.0,-1.3388024,-0.052185
397.0,-0.5175780000000001,-0.513,-0.5157470000000001,-0.5316160000000001,-0.540466,-0.575867,-0.59021,-0.6240840000000001,-0.691528,-0.731506,-0.9362790000000001,-1.066891,-1.155091,-1.228331,-1.240841,-1.374511,0.0,-1.305851,-0.05737299999999999
398.0,-0.511169,-0.499878,-0.5026240000000001,-0.49591099999999994,-0.534668,-0.5657960000000001,-0.570984,-0.610352,-0.648499,-0.719299,-0.91217,-1.0098310000000001,-1.104741,-1.184081,-1.199951,-1.309811,0.0,-1.2487810000000001,-0.06072999999999999
399.0,-0.4794307,-0.4730227,-0.4672237,-0.49652070000000004,-0.4928587,-0.5239867,-0.5444337,-0.5932617,-0.6369017,-0.6857297,-0.8856197,-1.0171517,-1.0681117,-1.1398317,-1.1630217,-1.2835717,0.0,-1.2161217,-0.057983400000000004
400.0,-0.43365519999999996,-0.4592892,-0.4559322,-0.4672242,-0.48522919999999997,-0.5181882000000001,-0.5200192,-0.5667112000000001,-0.6063842,-0.6707762,-0.8496092000000001,-0.9606932,-1.0208161999999998,-1.1236561999999999,-1.1001562,-1.1437962,0.0,-1.1727862,-0.0610352
401.0,-0.43426489999999995,-0.4437259,-0.43670689999999995,-0.4428099,-0.47149689999999994,-0.49499489999999996,-0.5023189,-0.5395509,-0.5880739,-0.6121829000000001,-0.8276369,-0.9066769,-0.9823579,-1.0733079,-1.0736079,-1.1080979,0.0,-1.1264079,-0.059509200000000005
402.0,-0.42236359999999995,-0.4110716,-0.41656459999999995,-0.42205859999999995,-0.43518060000000003,-0.47760059999999993,-0.5044556,-0.5236816,-0.5645756,-0.5950926,-0.7727046,-0.8999636,-0.9542845999999999,-1.0379076,-1.0366776,-1.0632276,0.0,-1.1065676,-0.0558472
403.0,-0.3967286,-0.39947560000000004,-0.39978060000000004,-0.40252659999999996,-0.4379276,-0.47119159999999993,-0.47393759999999996,-0.4995725999999999,-0.5328366,-0.5868526,-0.7608036,-0.8493046,-0.9555056,-0.9786976,-0.9957876,-1.0256976,0.0,-1.0534676,-0.0540161
404.0,-0.3805545,-0.3854375,-0.38391149999999996,-0.38909950000000004,-0.40405250000000004,-0.43060350000000003,-0.4592895,-0.48370349999999995,-0.5233765,-0.5609135,-0.7104495,-0.8346555,-0.8911135,-0.9628295,-0.9738155,-0.9927355,0.0,-1.0302755,-0.050048800000000004
405.0,-0.3588871,-0.38970910000000003,-0.3622441,-0.3656011,-0.39886510000000003,-0.4141231,-0.4287721,-0.45715310000000003,-0.5166631,-0.5258181000000001,-0.6948851,-0.7958981,-0.8355711,-0.9017941,-0.9130861,-0.9548951,0.0,-0.9765621,-0.0534058
406.0,-0.35186809999999996,-0.34484909999999996,-0.35949709999999996,-0.36315909999999996,-0.3805541,-0.4077151,-0.4296871,-0.4260251,-0.4791261,-0.5126951,-0.6823731,-0.7739261,-0.8282471,-0.8862301,-0.9161381,-0.9158321,0.0,-0.9378051,-0.0628663
407.0,-0.3149419,-0.3363039,-0.3372189,-0.3463749,-0.3659059,-0.3842159,-0.4071049,-0.41564989999999996,-0.4724119,-0.48980689999999993,-0.6408689,-0.7577519,-0.7897949,-0.8554079,-0.8673099,-0.9030149,0.0,-0.9149169,-0.06134029999999999
408.0,-0.3097534,-0.31524640000000004,-0.32806440000000003,-0.3298954,-0.3445434,-0.36560040000000005,-0.3781124,-0.3982544,-0.4275514,-0.48217740000000003,-0.6234744,-0.7122803999999999,-0.7849124,-0.8148194,-0.8227534,-0.8425904,0.0,-0.8767704,-0.058593700000000006
409.0,-0.29449420000000004,-0.29327420000000004,-0.30456520000000004,-0.3100582,-0.3286742,-0.3500362,-0.3558352,-0.3768922,-0.4153442,-0.44952420000000004,-0.5865482,-0.6900022,-0.7550051999999999,-0.7870482,-0.7824702,-0.8178711999999999,0.0,-0.8407591999999999,-0.0561523
410.0,-0.27709979999999995,-0.2838138,-0.2844238,-0.2883908,-0.3231808,-0.3149418,-0.34545879999999995,-0.3634648,-0.4083248,-0.4351808,-0.5596928,-0.6567378,-0.7568358000000001,-0.7574458000000001,-0.7662968,-0.7839968,0.0,-0.8044438,-0.06317129999999999
411.0,-0.2816772,-0.2706912,-0.2761842,-0.28320320000000004,-0.3033442,-0.3231812,-0.3341672,-0.3463742,-0.3903202,-0.39611820000000003,-0.5389402,-0.6106562,-0.7647702,-0.7498172,-0.7269281999999999,-0.7485961999999999,0.0,-0.7775882,-0.06195060000000001
412.0,-0.2648925,-0.2645875,-0.28137249999999997,-0.27252149999999997,-0.2960205,-0.2954105,-0.3146365,-0.3436275,-0.3686525,-0.4122925,-0.5212405000000001,-0.5957035,-0.7489015,-0.7366945,-0.7131955000000001,-0.7171635000000001,0.0,-0.7546995000000001,-0.05615239999999999
413.0,-0.2502442,-0.2600102,-0.2557372,-0.2645872,-0.2789302,-0.3030392,-0.3057862,-0.32409720000000003,-0.3640752,-0.38299520000000004,-0.48889119999999997,-0.5752562,-0.6814572,-0.7412722,-0.6912232,-0.6976322,0.0,-0.7247922,-0.0628662
414.0,-0.2200321,-0.2310181,-0.23681610000000003,-0.24383510000000003,-0.2676391,-0.2810671,-0.2874761,-0.3027341,-0.3320311,-0.3671261,-0.4876711,-0.5496221,-0.6097411,-0.7278441,-0.6491091,-0.6555181,0.0,-0.6719971,-0.0567627
415.0,-0.22430419999999998,-0.2230832,-0.2291872,-0.2392582,-0.2529902,-0.2633662,-0.2746582,-0.29357920000000004,-0.3314212,-0.3445432,-0.46051020000000004,-0.5297852,-0.5541992,-0.6683351999999999,-0.6173702,-0.6344601999999999,0.0,-0.6628421999999999,-0.0524902
416.0,-0.2093502,-0.22583019999999998,-0.22644019999999998,-0.21575919999999998,-0.24047819999999998,-0.2597042,-0.26123019999999997,-0.2838132,-0.2987672,-0.3338622,-0.43029819999999996,-0.5172732000000001,-0.5282592,-0.6085202000000001,-0.5944822000000001,-0.6109622,0.0,-0.6213382000000001,-0.0549316
417.0,-0.2081295,-0.2020265,-0.2172855,-0.22735550000000002,-0.23010250000000002,-0.2441405,-0.27099650000000003,-0.2770995,-0.29754650000000005,-0.3347775,-0.42358450000000003,-0.48828150000000003,-0.5419925,-0.5792235,-0.5816655000000001,-0.5819705000000001,0.0,-0.6100465,-0.0561524
418.0,-0.196228,-0.195007,-0.20813,-0.212708,-0.22888200000000003,-0.240784,-0.241089,-0.259094,-0.295105,-0.30365000000000003,-0.393982,-0.461731,-0.506287,-0.533142,-0.557556,-0.562439,0.0,-0.588989,-0.0531006
419.0,-0.1782227,-0.1870727,-0.1889037,-0.1998897,-0.2185057,-0.22674570000000002,-0.2359007,-0.2508547,-0.27496370000000003,-0.29205369999999997,-0.39947469999999996,-0.4519657,-0.4849247,-0.5102536999999999,-0.5218507,-0.5377197,0.0,-0.5651857,-0.053710900000000006
420.0,-0.1766966,-0.1770016,-0.1852416,-0.1968386,-0.2008056,-0.2239986,-0.22796660000000002,-0.2520756,-0.2642826,-0.28839159999999997,-0.4000856,-0.4434206,-0.4690556,-0.5001836000000001,-0.5169676000000001,-0.5154416,0.0,-0.5340576,-0.0534058
421.0,-0.16449019999999998,-0.1654052,-0.1675412,-0.1705932,-0.1873782,-0.2093502,-0.21240219999999999,-0.23132319999999998,-0.24810819999999997,-0.2658082,-0.3598022,-0.4202272,-0.44281020000000004,-0.4547122,-0.4858402,-0.49682620000000005,0.0,-0.5102542,-0.051879800000000004
422.0,-0.15777639999999998,-0.16265839999999998,-0.1693724,-0.1773074,-0.1828004,-0.1852414,-0.2160644,-0.2169804,-0.2374264,-0.2584844,-0.33294640000000003,-0.40771440000000003,-0.4183964,-0.4513554,-0.4663084,-0.46386740000000004,0.0,-0.5059814,-0.0473023
423.0,-0.15899619999999998,-0.15899619999999998,-0.15502919999999998,-0.1669312,-0.1809692,-0.1950072,-0.19989020000000002,-0.2139282,-0.2273562,-0.2560422,-0.3399662,-0.3811642,-0.4083252,-0.44158919999999996,-0.4510502,-0.4586792,0.0,-0.47485320000000003,-0.0570678
424.0,-0.1477055,-0.1351925,-0.15930149999999998,-0.16113249999999998,-0.17089849999999998,-0.1803585,-0.1892095,-0.2014165,-0.2200315,-0.2468875,-0.31463650000000004,-0.3707885,-0.3775025,-0.4156495,-0.42388950000000003,-0.4312135,0.0,-0.47088650000000004,-0.050354
425.0,-0.1370243,-0.1397703,-0.14007529999999999,-0.14801029999999998,-0.16876229999999998,-0.1724243,-0.1840213,-0.1980593,-0.2172853,-0.23559529999999998,-0.3091433,-0.3533933,-0.3738403,-0.3939823,-0.4223633,-0.4183963,0.0,-0.4409793,-0.053710900000000006
426.0,-0.1257324,-0.1339724,-0.1431274,-0.15197739999999998,-0.16052239999999998,-0.16021739999999998,-0.1757814,-0.1757814,-0.2026364,-0.2136234,-0.28594939999999996,-0.3472904,-0.3585814,-0.3958134,-0.4110714,-0.3948974,0.0,-0.42694139999999997,-0.056152299999999995
427.0,-0.1278685,-0.1245115,-0.1345825,-0.1385495,-0.1495365,-0.16021749999999998,-0.15716549999999999,-0.1727295,-0.1916505,-0.2078245,-0.26763950000000003,-0.31494150000000004,-0.3509525,-0.3701785,-0.38696250000000004,-0.37994350000000005,0.0,-0.3988645,-0.051269499999999996
428.0,-0.1159667,-0.1177977,-0.1315307,-0.1296997,-0.1443477,-0.1589967,-0.1562497,-0.1718137,-0.1892087,-0.1950077,-0.26184070000000004,-0.3161617,-0.3298947,-0.3582767,-0.3656007,-0.3652957,0.0,-0.38574169999999997,-0.0442505
429.0,-0.10467570000000001,-0.1156617,-0.1263427,-0.1184077,-0.1293947,-0.1419067,-0.1556397,-0.1620487,-0.1797487,-0.1989747,-0.2603147,-0.30456570000000005,-0.31433069999999996,-0.3286747,-0.33935570000000004,-0.3454587,0.0,-0.3817747,-0.0552368
430.0,-0.10772690000000001,-0.10803190000000001,-0.11749290000000001,-0.12451190000000001,-0.1358029,-0.1449589,-0.1452639,-0.1544189,-0.17761190000000002,-0.18737790000000001,-0.24230990000000002,-0.2795409,-0.3131099,-0.3186039,-0.3359989,-0.3369139,0.0,-0.3622439,-0.0518798
431.0,-0.10925280000000001,-0.10681180000000001,-0.11138880000000001,-0.1235958,-0.1245118,-0.1345828,-0.1391598,-0.1452638,-0.1632688,-0.17974880000000001,-0.23681680000000002,-0.2645878,-0.2929688,-0.3094478,-0.3082278,-0.32165479999999996,0.0,-0.33782979999999996,-0.0534057
432.0,-0.1004029,-0.10498090000000002,-0.1025389,-0.11535690000000001,-0.1257329,-0.1306149,-0.1397709,-0.1422119,-0.1605229,-0.18249490000000002,-0.2200319,-0.2743529,-0.2770999,-0.2957149,-0.3109739,-0.3146359,0.0,-0.3256229,-0.0479126
433.0,-0.0939943,-0.0939943,-0.0973513,-0.10253930000000001,-0.1220703,-0.1208493,-0.1248173,-0.1348873,-0.14923129999999998,-0.17089829999999998,-0.2059933,-0.2520753,-0.2597043,-0.29083230000000004,-0.2828983,-0.3024293,0.0,-0.2920533,-0.0463867
434.0,-0.088196,-0.092468,-0.10253899999999999,-0.10467500000000002,-0.11108400000000002,-0.11871300000000001,-0.12115500000000001,-0.138245,-0.149231,-0.15564,-0.206604,-0.23590100000000003,-0.257873,-0.272522,-0.288696,-0.283813,0.0,-0.304871,-0.0512695
435.0,-0.0790401,-0.0848391,-0.0897221,-0.10314910000000001,-0.10284410000000001,-0.1089481,-0.1153561,-0.1269531,-0.1431271,-0.1522831,-0.19012410000000002,-0.2352901,-0.2481081,-0.2664181,-0.2700801,-0.2685551,0.0,-0.2783201,-0.0442505
436.0,-0.0833127,-0.0808717,-0.0946047,-0.0933837,-0.10498070000000001,-0.11047370000000001,-0.1159667,-0.1254277,-0.1492307,-0.1443477,-0.1873777,-0.2209477,-0.2371217,-0.2517697,-0.2508547,-0.2661137,0.0,-0.2801517,-0.0521851
437.0,-0.0686646,-0.078125,-0.08697490000000001,-0.0927739,-0.1031499,-0.10925290000000001,-0.11260990000000001,-0.11718790000000001,-0.1425169,-0.1419069,-0.18402090000000002,-0.2206419,-0.2243039,-0.24597190000000002,-0.2529909,-0.2520749,0.0,-0.2612309,-0.0488282
438.0,-0.07720950000000001,-0.0723267,-0.079651,-0.085144,-0.090027,-0.10070799999999999,-0.10803200000000002,-0.10864300000000002,-0.133362,-0.125122,-0.17761200000000002,-0.205994,-0.212402,-0.225525,-0.24444600000000002,-0.235901,0.0,-0.25360099999999997,-0.052185100000000005
439.0,-0.0720215,-0.08148190000000001,-0.08300790000000001,-0.08117690000000001,-0.0970459,-0.0994869,-0.1028439,-0.10833690000000001,-0.1251219,-0.1333619,-0.1605229,-0.2008059,-0.2096559,-0.2386479,-0.2212529,-0.2294919,0.0,-0.2252199,-0.05218500000000001
440.0,-0.0643921,-0.0671387,-0.0750733,-0.0772095,-0.0860592,-0.0921632,-0.0869752,-0.0994872,-0.1171872,-0.1214602,-0.15808119999999998,-0.1870732,-0.1986692,-0.2023312,-0.2023312,-0.2175902,0.0,-0.2316282,-0.048523
441.0,-0.061950599999999995,-0.0576782,-0.0640869,-0.0762939,-0.0799556,-0.0921626,-0.0888066,-0.0991816,-0.1077266,-0.1147456,-0.1556396,-0.17089859999999998,-0.1824946,-0.2023316,-0.2062986,-0.2102656,0.0,-0.2093506,-0.05004879999999999
442.0,-0.060119599999999995,-0.0543213,-0.06622310000000001,-0.0692749,-0.0720215,-0.0778202,-0.0817872,-0.0903322,-0.0985722,-0.11291520000000001,-0.14099119999999998,-0.1708982,-0.1733402,-0.18920920000000002,-0.18585220000000002,-0.18920920000000002,0.0,-0.19989020000000002,-0.0372314
443.0,-0.057373,-0.0579834,-0.0640869,-0.0653076,-0.0708008,-0.07720950000000001,-0.08575450000000001,-0.1013185,-0.1007075,-0.1043705,-0.1449585,-0.16448949999999998,-0.1745605,-0.1934815,-0.1821895,-0.1962285,0.0,-0.1928715,-0.046386699999999996
444.0,-0.0515747,-0.0558472,-0.0650024,-0.0698853,-0.0714111,-0.07507319999999999,-0.0866697,-0.0888057,-0.1000977,-0.10436970000000001,-0.1336667,-0.1568607,-0.1654057,-0.1797487,-0.1818847,-0.1861577,0.0,-0.1840207,-0.045776399999999995
445.0,-0.044555599999999994,-0.055542,-0.047302199999999996,-0.06835940000000001,-0.06622310000000001,-0.078125,-0.078125,-0.08300750000000001,-0.09124750000000001,-0.09613050000000001,-0.1327515,-0.1446535,-0.1510615,-0.17028849999999998,-0.1809695,-0.1779175,0.0,-0.1803585,-0.045166000000000005
446.0,-0.047607399999999994,-0.0506591,-0.0497436,-0.0628662,-0.0613403,-0.0753784,-0.0790405,-0.0845337,-0.0857547,-0.0997927,-0.1208497,-0.1446537,-0.1489257,-0.1614377,-0.1696777,-0.1812747,0.0,-0.1852417,-0.0405883
447.0,-0.0543213,-0.04943850000000001,-0.058898900000000004,-0.06286620000000001,-0.0692749,-0.0714111,-0.07873530000000001,-0.0790405,-0.0949099,-0.08972190000000001,-0.11810290000000001,-0.1318359,-0.1574709,-0.1672359,-0.1712039,-0.1611329,0.0,-0.1736449,-0.0460815
448.0,-0.050659199999999995,-0.053711,-0.053711,-0.0579834,-0.067749,-0.06805420000000001,-0.0765991,-0.076294,-0.087891,-0.089722,-0.11871300000000001,-0.131531,-0.140991,-0.14801,-0.161133,-0.162659,0.0,-0.168152,-0.045166000000000005
449.0,-0.045166,-0.043334899999999996,-0.0506591,-0.0613403,-0.0631713,-0.0683593,-0.06958,-0.0735473,-0.0753784,-0.0808717,-0.1147457,-0.1306147,-0.1376347,-0.1446537,-0.1528927,-0.1635737,0.0,-0.1531977,-0.0421142
450.0,-0.0402832,-0.041503899999999996,-0.04577629999999999,-0.0488281,-0.0595092,-0.0686645,-0.0646972,-0.0732421,-0.0717163,-0.0784301,-0.10681170000000001,-0.1248167,-0.1321407,-0.1406857,-0.1507567,-0.1583857,0.0,-0.1480107,-0.037536599999999996
